paper_id,title,session,sentence_index,label_id,label_name,label_english,confidence,rule_reason,sentence,url
1,One-Shot Real-World Demonstration Synthesis for Scalable Bimanual Manipulation,Manipulation 1,1,3,기존 한계,Prior limitation,0.91,prior limitation,"Learning dexterous bimanual manipulation policies critically depends on large-scale, high-quality demonstrations, yet current paradigms face inherent trade-offs: teleoperation provides physically grounded data but is prohibitively labor-intensive, while simulation-based synthesis scales efficiently but suffers from sim-to-real gaps.",https://roboticsconference.org/program/papers/1/
1,One-Shot Real-World Demonstration Synthesis for Scalable Bimanual Manipulation,Manipulation 1,2,5,방법,Method,0.88,proposed method,"We present BiDemoSyn, a framework that synthesizes contact-rich, physically feasible bimanual demonstrations from a single real-world example.",https://roboticsconference.org/program/papers/1/
1,One-Shot Real-World Demonstration Synthesis for Scalable Bimanual Manipulation,Manipulation 1,3,6,핵심 아이디어,Key idea,0.88,key mechanism,"The key idea is to decompose tasks into invariant coordination blocks and variable, object-dependent adjustments, then adapt them through vision-guided alignment and lightweight trajectory optimization.",https://roboticsconference.org/program/papers/1/
1,One-Shot Real-World Demonstration Synthesis for Scalable Bimanual Manipulation,Manipulation 1,4,6,핵심 아이디어,Key idea,0.88,key mechanism,"This enables the generation of thousands of diverse and feasible demonstrations within several hour, without repeated teleoperation or reliance on imperfect simulation.",https://roboticsconference.org/program/papers/1/
1,One-Shot Real-World Demonstration Synthesis for Scalable Bimanual Manipulation,Manipulation 1,5,9,비교,Comparison,0.93,comparison to baselines,"Across six dual-arm tasks, we show that policies trained on BiDemoSyn data generalize robustly to novel object poses and shapes, significantly outperforming recent strong baselines.",https://roboticsconference.org/program/papers/1/
1,One-Shot Real-World Demonstration Synthesis for Scalable Bimanual Manipulation,Manipulation 1,6,5,방법,Method,0.58,default technical contribution sentence,"Beyond the one-shot setting, BiDemoSyn naturally extends to few-shot-based synthesis, improving object-level diversity and out-of-distribution generalization while maintaining strong data efficiency.",https://roboticsconference.org/program/papers/1/
1,One-Shot Real-World Demonstration Synthesis for Scalable Bimanual Manipulation,Manipulation 1,7,6,핵심 아이디어,Key idea,0.88,key mechanism,"Moreover, policies trained on BiDemoSyn data exhibit zero-shot cross-embodiment transfer to new robotic platforms, enabled by object-centric observations and a simplified 6-DoF end-effector action representation that decouples policies from embodiment-specific dynamics.",https://roboticsconference.org/program/papers/1/
1,One-Shot Real-World Demonstration Synthesis for Scalable Bimanual Manipulation,Manipulation 1,8,7,검증,Validation,0.88,validation setup,"By bridging the gap between efficiency and real-world fidelity, BiDemoSyn provides a scalable path toward practical imitation learning for complex bimanual manipulation without compromising physical grounding.",https://roboticsconference.org/program/papers/1/
2,Supervised Mixture-of-Experts for Surgical Grasping and Retraction,Manipulation 1,1,3,기존 한계,Prior limitation,0.91,prior limitation,"Imitation learning has achieved remarkable success in robotic manipulation, yet its application to surgical robotics remains challenging due to data scarcity, constrained workspaces, and the need for an exceptional level of safety and predictability.",https://roboticsconference.org/program/papers/2/
2,Supervised Mixture-of-Experts for Surgical Grasping and Retraction,Manipulation 1,2,5,방법,Method,0.88,proposed method,"We present a supervised Mixture-of-Experts (MoE) architecture designed for phase-structured surgical manipulation tasks, which can be added on top of any autonomous policy.",https://roboticsconference.org/program/papers/2/
